Aircrafts, Directions
Airbus A321,HEL-CDG,CDG-PRG,CDG-HEL,PRG-CDG,IST-VKO,VKO-IST,IST-AYT,AYT-IST,SVO-IST,IST-SVO,LED-SVO,SVO-LED,DME-MUC,VCE-FRA,PRG-SVO,FCO-SVO,DME-FRA,FRA-VCE,CDG-FCO,FCO-MUC,FCO-FRA,LED-FRA,FRA-FCO,MUC-FRA,FCO-CDG,SVO-FCO,MUC-FCO,CAN-BKK,PEK-CAN,KHV-ICN,SIP-SVO,SVO-SIP,VIE-FRA,SVO-CDG,DME-ZRH,DME-VIE,VIE-DME,MAD-FCO,BCN-SVO,TFS-MAD,MAD-LHR,CDG-MAD,SVO-AMS,LED-MUC,FRA-LED,ARN-CPH,CPH-FCO,FCO-CPH,FRA-MUC,MUC-DUS,CDG-LHR,LHR-CDG,VIE-LHR,CDG-MAN,MAN-CDG,ZRH-DME,SVO-AER,FRA-DME,FRA-BER,LHR-LED,CPH-CDG,CDG-CPH,CDG-GVA,CDG-VIE,VIE-CDG,KJA-SVO,OVB-SVO,SVO-WAW,VIE-KBP,KBP-IST,TXL-DUS,SVO-MXP,NCE-ORY,IST-CDG,CDG-FRA,CDG-SVO,FRA-CDG,KBP-SVO,DME-LHR,LHR-DME,MXP-SVO,BCN-FCO,SVO-OVB,AER-SVO,HEL-BCN,LED-IST,IST-BCN,ZRH-BCN,CDG-BCN,BCN-VIE,SVO-BCN,BCN-MAD,MUC-BCN,BCN-MUC,FRA-BCN,BCN-ZRH,BCN-HEL,IST-LED,HEL-FCO,DUS-FCO,FCO-DUS,FCO-VIE,VIE-FCO,MAD-FRA,FRA-MAD,IST-MAD,MAD-IST,LED-LHR,MUC-DME,SGN-KUL,KUL-SGN,KBP-FRA,FRA-KBP,KBP-MUC,KBP-ALA,ALA-SVO,AMS-CDG,SVO-KBP,LED-FCO,FCO-BCN,FCO-LED,MAD-BCN,BCN-FRA,BCN-CDG,FRA-CPH,VIE-BCN,ALC-TXL,ALC-PMI,MUC-LED
aircrafts,Airbus A321,Airbus A320,Airbus A319,Avro RJ100,Embraer 190,Boeing 737-300,Boeing 737 all pax models,Fokker 70,Airbus A320-100/200,Airbus A321-100/200,Boeing 737-500 pax,Embraer RJ145 Amazon,Boeing 717,170/190,Canadair Regional Jet 900,Embraer 170,De Havilland Canada DHC-8-400 Dash 8Q,Boeing 737-300 pax,Avro RJ70 / RJ85 / RJ100 Avroliner,Boeing 737-700 pax,Airbus A330-300,Ilyushin 96,Boeing 737-800,Boeing 737-700,Boeing 737-800 pax,Boeing 737-700 (winglets) pax,Boeing 737,Airbus A318 / A319 / A320 / A321,ATR 42-300 / 320,McDonall Douglas-82,Embraer 170/175/190/195,Boeing 737-400,Saab 2000,Aerospatiale/Alenia ATR 72,Airbus A330 all models,Aerospatiale/Alenia ATR 42-300 / 320,Aeritalia ATR 72,Antonov AN-140,Boeing 737-400 pax,Airbus Industrie A320-100/200,Airbus Industrie A321,Embraer 195,Airbus A318/321,De Havilland DHC-8 400 Series,Boeing 737-300 (Winglets),Boeing 737-500,Airbus Industrie A319,Airbus A318/A319/A320/A321,Airbus Industrie A318/A319/A320/A321,Boeing 737-700 (Winglets),Boeing 737-800 (Winglets),Embraer RJ170,DHC8 Dash 8-400,Airbus A330-200,Airbus Industrie A330-200,Airbus Industrie A330-300,Boeing 777-300 pax,De Havilland DHC-8-400 Dash 8Q,Canadair Jet,Aн-148-100,Boeing 777-300,Boeing 777-200/200ER,Boeing 777-300ER,Airbus Industrie A340-300,Airbus Industrie A340-600,Airbus Industrie A330,Boeing 777-200,Boeing 747-400,Boeing 777-200/300,380,Boeing 767-300,Airbus A300-600,Airbus A340-300,Ан-140,Saab SF340A/340B,Сухой Суперджет 100-95,SU9,Boeing 767 all pax models,Boeing 767-300 pax,Ту-204 / Ту-214,Airbus A330,Ил-96,Embraer ERJ-175,Avroliner RJ100,Embraer ERJ-170,Fokker F70,BAe 146,146 all pax models,Aerospace 146,Fokker 100,Airbus A310,Boeing 767,Airbus A310 all pax models,Airbus A318,Boeing 737-900 (winglets),Эмбраер 195,Boeing 737-600,Airbus A318/319/320/321,Airbus A343,Boeing 777,Airbus A380-800,Airbus A340,Embraer RJ145,Fokker 50,Avro RJ70/RJ85/RJ100,McDonnell Douglas MD80,MC Donnell Douglas MD-81,Boeing 747-400 pax,ZZZ,Tupolev Tu-204 / Tu-214,Boeing 767-300/300ER,Boeing 757-200,Tupolev 204,Airbus A340-500,Boeing 767-200/300,Airbus Industrie A340-500,Aerospatiale/Alenia ATR 42/72,Boeing 777 all pax models,Airbus A340 all models,Boeing 777-200 pax,Canadair Regional Jet,Як-42,Canadair Jet 700,Aerospatiale/Alenia ATR42-500,Boeing 737 All Series Passenger,ATR 72,Boeing 757-200/300,Boeing 757,ATR 42-500,Boeing (Douglas) MD-87,Embraer 175,Boeing 757-200 pax,Yakovlev YAK-42,Avro RJ100 Avroliner,Aerospatiale/Alenia ATR 42/ ATR 72,Boeing 757 all pax models,Embraer ERJ-190,Boeing 737-200 Combi,Б737,BAe 146-200,Avro RJ85 Avroliner,Аэробус А380-800,Boeing 767-400,Airbus A340-200,Airbus A340-600,Boeing 777-200 / 200ER,Embraer RJ135 / RJ140 / RJ145,Boeing 747 all Combi models,Airbus A-380-800,Boeing 767-400 pax,Як-42 / Як-142,Ilyushin IL96 pax,Boeing 757-200 Passenger,,Boeing 747 all pax models,A380 pax,Boeing 737-900,Canadair Regional Jet 700,Canadair Regional Jet 200,Antonov An-148-100,Plane Varies,Ан-148-100,Tupolev Tu134
Airbus A320,PRG-CDG,IST-AYT,IST-VKO,AYT-IST,VKO-IST,SVO-IST,IST-SVO,DME-LED,LED-AYT,FRA-DME,DME-GVA,GVA-DME,DME-BCN,BCN-VCE,VCE-BCN,BCN-DME,DME-OVB,LED-BER,BER-LED,LED-CDG,LED-FRA,FRA-FCO,MUC-LED,FRA-LED,DUS-MUC,LED-ZRH,ZRH-FCO,FCO-ZRH,ZRH-LED,FCO-LED,FCO-SVO,LED-MUC,LED-DME,CMB-KUL,YKS-PEK,YKS-OVB,OVB-CAN,SVO-UFA,UFA-SVO,SVO-SIP,SIP-SVO,SVO-LED,DME-SIP,SIP-DME,IKT-SVO,LED-AER,DME-VIE,FRA-VIE,VIE-DME,SVO-FRA,BRU-FRA,FRA-WAW,CDG-FRA,DME-ZRH,ZRH-FRA,WAW-SVO,BOJ-SVO,SVO-BOJ,BOJ-DME,ATH-DME,CDG-SVO,SVO-MAD,MAD-TFS,ZRH-TFS,TFS-ZRH,ZRH-GVA,MAD-TFN,TFN-MAD,GVA-ZRH,MAD-CDG,SVO-CDG,AMS-SVO,LED-BCN,BCN-FCO,FCO-BCN,BCN-LED,CDG-LED,DME-CAI,DME-BER,DUS-DME,DME-DUS,BER-DME,MUC-HAM,CDG-LHR,VKO-FRA,FRA-LHR,HEL-LHR,LHR-HEL,LHR-VIE,SVX-SVO,LHR-MAN,SVO-AMS,MAN-CDG,SVO-SVX,MAN-LHR,AER-SVO,TXL-ZRH,ZRH-TXL,VCE-SVO,AER-LED,KUF-SVO,SVO-AER,SVO-KUF,DME-AUH,AUH-MAA,MAA-AUH,AUH-DME,SGC-SVO,SVO-KRR,SVX-DME,DME-MUC,MUC-DME,DME-FRA,LED-SVO,LED-LHR,LHR-ORY,ZRH-CDG,VIE-CDG,VVO-KHV,KHV-VVO,KHV-OVB,OVB-KHV,KHV-IKT,KJA-SVO,OVB-DME,NSK-OVB,SVO-RIX,IST-KBP,TXL-BCN,BEG-SVO,MXP-SVO,FRA-PRG,PRG-FRA,HAM-VKO,HEL-PRG,IST-PRG,PRG-IST,FRA-VKO,TXL-AYT,RIX-SVO,GDX-VVO,VVO-OVB,PRG-SVO,CDG-VIE,CDG-PRG,SVO-CPH,SVO-OVB,BCN-SVO,LED-DUS,DUS-BCN,LED-TXL,LED-HEL,CDG-BCN,MUC-BCN,VIE-BCN,BCN-GVA,LHR-BCN,BCN-LHR,BCN-MAD,SVO-BCN,BCN-FRA,BCN-BER,LED-VCE,BCN-VIE,BCN-CDG,VIE-FCO,IST-FCO,FCO-HEL,CDG-FCO,SVO-FCO,DME-KIV,KIV-FCO,FCO-KIV,KIV-DME,MUC-FCO,ZRH-DME,ZRH-MAD,MUC-MAD,MAD-MUC,MAD-ZRH,MAD-SVO,CDG-MAD,DUS-MAD,MAD-TXL,TXL-LED,LED-PRG,LHR-PRG,PRG-LHR,SVO-MRS,PRG-FCO,BAX-DME,DME-BAX,KBP-IST,IST-KUL,KUL-IST,CDG-KBP,BCN-MUC,DME-MAD,ARN-MUC,MAD-BCN,OVB-SVO,OVB-LED,OVB-AER,OVB-YKS,TXL-ORY,ALC-BCN,BCN-ORY,SVO-BUD,BUD-MUC,MUC-BUD
Airbus A319,CDG-HEL,CDG-PRG,HEL-FRA,FRA-BRU,PRG-BRU,BRU-FRA,FRA-HEL,PRG-CDG,AMS-PRG,PRG-AMS,IST-AYT,AYT-IST,AYT-LED,VCE-FCO,PRG-SVO,DME-BRU,BRU-DME,DME-MUC,DUS-DME,DME-DUS,SVO-HEL,HEL-VCE,HEL-SVO,DME-OVB,LED-DME,LED-SVO,LED-CDG,FCO-MUC,CDG-LED,LED-FCO,SVO-LED,MUC-FCO,DME-LED,UFA-SVO,UFA-DME,DME-UFA,SVO-UFA,LED-UFA,SIP-DME,DME-MSQ,SVX-DME,DME-AER,FRA-SVO,VIE-DME,SVO-BOJ,SOF-SVO,BOJ-LED,SVO-SOF,SOF-CDG,CDG-SVO,LED-VKO,MAD-CDG,LHR-MAD,DME-MAD,MAD-DME,FCO-LED,LED-PRG,PRG-LED,FCO-ZRH,ZRH-LED,FCO-TXL,FCO-HEL,DME-ODS,SVO-ODS,ODS-DME,VKO-LED,DME-KBP,LHR-GVA,LHR-BRU,GVA-LHR,SVO-CPH,LGW-FRA,MUC-DME,SVO-SVX,MAN-LHR,DME-SVX,SVX-SVO,LHR-MAN,SVX-LED,LED-LGW,LGW-LED,LED-SVX,AER-DME,FCO-VCE,UUD-DME,ODS-SVO,KBP-DME,KUF-DME,DME-KUF,VKO-FRA,BER-VKO,SGC-SVO,DRS-CGN,CGN-VKO,SVO-DRS,FRA-DME,GYD-DME,SVO-CDG,CPH-LED,MUC-CDG,CDG-MUC,LED-ARN,BER-LED,OVB-DME,DME-ROV,ROV-DME,TXL-HEL,MXP-PRG,PRG-MXP,PRG-HEL,YYZ-BGI,BGI-YYZ,DUS-NCE,CDG-NCE,ORY-NCE,NCE-CDG,NCE-ORY,CDG-KBP,ORY-BER,KBP-CDG,TRN-SVO,SVO-PRG,ORY-LHR,CDG-ZRH,CDG-GVA,ARN-SVO,FRA-VKO,LHR-FRA,LED-AER,AER-LED,LED-HEL,CDG-BCN,GVA-ZRH,BCN-MUC,MUC-BCN,LED-ZRH,AMS-LED,HEL-LED,BCN-IST,FRA-TXL,LED-MAD,MAD-LED,MUC-MAD,HRB-PEK,FCO-PRG,MRS-PRG,HEL-PRG,UFA-IST,UFA-LED,HAM-LED,LED-BAX,BAX-LED,LED-HAM,DME-BAX,BAX-DME,BRU-HAM,FRA-CPH,BCN-CDG,VIE-LED,SVO-BCN,MAD-BCN,DME-KRR,BUD-SVO,SVO-BUD,MUC-BUD,SVO-KRR
Avro RJ100,BRU-PRG,GVA-ZRH,ZRH-VCE,ZRH-LCY,BRU-LHR,GVA-PRG,PRG-GVA,ZRH-BUD,BUD-ZRH
Embraer 190,FRA-BRU,PRG-AMS,KIV-VCE,SVO-HEL,VCE-HEL,SOF-SVO,HEL-LED,KBP-LED,LED-KBP,HEL-SVO,FRA-LCY,SVX-HEL,HEL-MAN,MAN-HEL,HEL-SVX,LED-HEL,HEL-CDG,CDG-HEL,MAD-AMS,ORY-MAD,PRG-HEL,HEL-BUD,BUD-HEL
Boeing 737-300,FRA-BRU,VCE-BRU,FCO-RIX,LED-FCO,RIX-FCO,RIX-SVO,SVO-RIX,LED-DME,DME-LED,PEK-KMG,HAM-LED,DUS-LHR,FRA-DRS,KBP-WAW,RIX-KBP,TXL-BEG,DUS-HAM,KBP-SVO,FRA-CDG,CDG-FRA,RIX-BCN,BCN-RIX,LED-RIX,AMS-KBP,KBP-AMS,CPH-FRA,FRA-WAW,DUS-FRA
Boeing 737 all pax models,HEL-AMS,AMS-HEL,GOT-ARN,IST-VKO,VKO-IST,RIX-VCE,SVO-AMS,AMS-VCE,ICN-VVO,RIX-FCO,FCO-AMS,ARN-LED,AMS-FCO,RIX-LGW,LGW-RIX,SVO-ARN,ARN-LHR,ARN-SVO,KBP-LGW,AMS-SVO,DEL-DXB,MAA-BOM,BOM-DXB,RIX-CDG,ARN-CDG,CDG-ARN,LED-ARN,RIX-TLV,KBP-TLV,KBP-CDG,LED-RIX,BCN-AMS,BCN-RIX,SHE-ICN,HRB-TAO
Fokker 70,AMS-PRG,VIE-KBP,PRG-VIE,VIE-PRG,PRG-AMS,VIE-MUC,VIE-BUD,BUD-VIE
Airbus A320-100/200,PRG-CDG,HEL-CDG,MUC-HEL,IST-AYT,AYT-IST,DME-KIV,VCE-SVO,VKO-IST,VCE-BCN,BCN-DME,DME-OVB,LED-SVX,SVX-OVB,SVX-NSK,NSK-OVB,SVO-OVB,SVX-KRR,KRR-OVB,VVO-ICN,VVO-HKG,PEK-VVO,ICN-VVO,SVO-LED,LED-DME,TAS-ALA,LED-ALA,BOJ-DME,CDG-SVO,LED-TXL,TXL-FCO,FCO-BCN,BCN-LED,PRG-FCO,FCO-PRG,VIE-FCO,FCO-ZRH,LED-MUC,DUS-LED,FCO-VIE,VIE-LED,CDG-LED,LED-DUS,LED-FCO,MUC-LED,LED-ZRH,ZRH-FCO,LED-BCN,BCN-FCO,RIX-SVO,DME-FRA,DME-MUC,MUC-LHR,VKO-FRA,FRA-LHR,HAM-VKO,DME-VIE,MAN-LHR,DME-SVX,LHR-MAN,SVO-UFA,AER-SVO,FCO-SVO,LED-AER,SVO-KUF,MAA-AUH,AUH-DME,MAA-DEL,DXB-SVO,MAA-BOM,DOH-DME,DME-DOH,FRA-VKO,DME-DUS,DME-ZRH,GVA-DME,ZRH-GVA,MUC-DME,DUS-DME,BER-LED,LED-BER,BER-ORY,CDG-HEL,CDG-PRG,KHV-OVB,OVB-DME,OVB-KHV,SVO-KJA,SVO-IKT,IKT-KHV,VVO-KHV,UUS-KHV,DME-LED,DME-ROV,ROV-DME,LED-SVO,TXL-HEL,CGN-DME,TXL-CGN,PRG-FRA,VIE-DME,GDX-IKT,IKT-DME,DME-EVN,SVO-RIX,ORY-BER,SVO-WAW,WAW-SVO,FRA-CDG,FRA-DME,SVO-CDG,GVA-ZRH,ZRH-DME,FRA-BRU,DME-GVA,BCN-SVO,BCN-MAD,MAD-DME,BCN-SVX,DME-AER,DUS-BCN,MAD-BCN,PRG-BCN,BER-BCN,BCN-PRG,BCN-LHR,ZRH-LED,TXL-LED,FRA-ARN,HRB-PEK,HKG-VVO,HRB-SHE,HRB-CAN,CAN-HKG,HRB-OVB,OVB-SVX,SVX-VVO,FRA-PRG,VKO-HAM,IST-PRG,IST-VKO,SVO-MXP,PRG-MXP,MXP-SVO,BAX-SVO,SVO-HAM,HAM-SVO,DME-BAX,BAX-DME,MUC-HAM,DME-PMI,SVO-BAX,SVO-PRG,ALC-BCN,BCN-ORY,SVO-MRV
Airbus A321-100/200,CDG-HEL,CDG-PRG,VKO-IST,IST-AYT,AYT-IST,IST-VKO,SVO-PRG,LED-SVO,LED-DME,KBP-ALA,KBP-SVO,DME-VIE,VIE-SOF,FCO-ZRH,FCO-FRA,FRA-LED,CDG-FCO,FCO-CDG,DUS-FCO,FCO-MUC,FRA-MUC,IST-LGW,LHR-IST,FRA-HAM,VIE-LHR,IST-SVX,MAN-LHR,AER-SVO,SVO-FCO,FCO-SVO,MAA-DEL,BOM-DEL,DME-MUC,MUC-FRA,DME-ZRH,ZRH-DME,MUC-DME,DUS-MUC,CDG-CPH,HEL-CDG,SVO-OVB,SVO-LED,CDG-FRA,SVO-WAW,CPH-CDG,FRA-BRU,DME-LHR,LHR-DME,BCN-FRA,BCN-SVO,SVO-AER,TXL-BCN,MAD-BCN,HEL-BCN,ZRH-BCN,BCN-ZRH,CDG-BCN,BCN-BER,LHR-LED,FRA-ARN,SHE-ICN,HAM-FRA,FRA-PRG,PRG-FRA,PRG-IST,SVO-BAX,BAX-SVO,PMI-HAM
Boeing 737-500 pax,PRG-CDG,DUS-HEL,DUS-PRG,LED-VKO,VKO-OVB,VKO-NJC,LED-AER,DME-LED,SIP-KBP,KBP-SVO,LED-DME,ODS-DME,LED-ODS,ODS-LED,LED-KBP,KBP-ODS,ODS-KBP,KBP-LED,ODS-VKO,VKO-ODS,SVO-RIX,LHR-WAW,KBP-DME,DME-KBP,VKO-UFA,AER-DME,DME-UFA,LED-UFA,VIE-ODS,KUF-LED,VKO-KRR,SGC-LED,DRS-FRA,MSQ-CDG,WAW-CDG,LED-HEL,LED-AAQ,VKO-KBP,SVO-KBP,KBP-VKO,DME-MSQ,MSQ-DME,ROV-LED,VKO-ROV,ROV-VKO,ROV-SVO,DME-ROV,SVO-ROV,LED-ROV,SVO-LED,TXL-KBP,MSQ-PRG,PRG-MSQ,RIX-FRA,EVN-TLV,MSQ-TLV,CDG-RIX,LED-SVO,DME-AER,WAW-LED,UFA-LED,VKO-LED,MRV-SVO,SVO-MRV,VKO-MRV,DME-MRV,MRV-DME,DME-KRR,LED-SGC
Embraer RJ145 Amazon,PRG-GOT,SOF-KBP,LHR-MAN,MSQ-KBP,KBP-MSQ
Boeing 717,ARN-HEL
170/190,WAW-PRG,PRG-WAW,PRG-MUC,MUC-FCO,FCO-MUC,WAW-SVO,MUC-DRS,CDG-WAW,SVO-WAW,BCN-WAW
Canadair Regional Jet 900,HEL-DUS,DUS-PRG,PRG-DUS,MUC-VCE,TLL-VNO,VNO-TLL,CPH-LED,MUC-ODS,ODS-MUC,DRS-MUC,MUC-DRS,MUC-PRG,MUC-BUD,BUD-MUC
Embraer 170,WAW-HEL,SVX-HEL,HEL-SVX,TXL-WAW,WAW-PRG,PRG-WAW,WAW-CDG,CDG-WAW,KGD-WAW
De Havilland Canada DHC-8-400 Dash 8Q,PRG-MUC,LED-RIX,RIX-ODS,RIX-DME,DME-RIX,RIX-LED,TXL-RIX,VIE-PRG,RIX-BRU,BRU-RIX,FRA-RIX,RIX-FRA,PRG-VIE
Boeing 737-300 pax,FRA-BRU,SVO-RIX,LED-DME,DME-LED,KBP-LED,SVO-KBP,KBP-SVO,KBP-VKO,RIX-SVO,VKO-KBP,CDG-RIX,KBP-PRG,PRG-KBP,CDG-FRA,RIX-BCN
Avro RJ70 / RJ85 / RJ100 Avroliner,BRU-PRG,ZRH-GVA,GVA-ZRH,PRG-BRU,GVA-PRG
Boeing 737-700 pax,HEL-DUS,VCE-DUS,DUS-VCE,VCE-TXL,TXL-LED,FCO-ARN,LHR-ARN,DUS-DRS,DRS-DUS,ORY-BER,BER-ORY,BCN-DUS,BER-LED,FRA-TXL,HAM-MUC,HAM-DUS,MUC-HAM,DUS-HAM
